1|Nickolova|Chadova|H2J|32, Balkqmtyhc Futnv Dbwrxpdvu|69663|061 808 4537|0HL|419/209|698115/161791-434702|2/4/1997|MA1|OLY|
2|Kate	|Fletcher|F13|72, Ojhmnpasu Kqephijwjo Bodlh|96460|720 536 4641|0II|699/855|292753/908886-784008|9/29/2002|DE2|W8S|
3|Dave	|Hollis|I04|56, Evqibr Phzay Iuuowjmf Clll|32738|286 445 8322|02H|875/955|638586/774295-478886|5/9/1990|SY1|OBB|
4|Trisha	|Afoa|B0B|37, Bdgbiabxat Axmspsbho Dlaez|44334|044 538 0994|00T|255/585|999092/055219-543382|2/11/1995|DE1|PCU|
5|Andrian|Margarita|B0Q|26, Ukmyg Shzsvmeorpz Szspmfpb|81612|429 258 5436|07F|137/766|598812/037313-205691|5/22/1991|HO1|7L2|
6|Ana|Radev|H1Y|95, Yoqcqdutbti Imeevommxxc Pn|81253|931 839 0050|0CE|528/936|836456/162824-014538|1/7/1993|PS1|ZSR|
7|Stankov|Pacarada|B2V|54, Angdeu Ofqzsvjs Hkjtipquvl|54508|653 404 5731|087|192/659|980112/573860-668895|12/16/1992|NU2|ZQV|
8|Steve	|Thompson|B3A|77, Tgugyg Nwztcab Togmyiyzpz |38720|224 808 0134|06P|275/956|850654/225506-657439|4/22/2000|DR1|VRS|
9|Andrey|Ajazaj|C22|95, Rcrzg Qnbxvdt Bczequos Ftz|24483|235 664 6242|0HO|166/103|005586/272953-587253|10/9/2003|DI2|DM5|
10|Illong A.|Al-Hallaq|S2O|11, Rtotq Relmdet Zrhouzmvxmm |46581|144 822 7947|04S|792/275|493389/321431-991340|1/14/1995|EL1|ICH|
11|Muradian|Petrova|T0D|79, Htdnbnlfrr Asjmn Qspqrdnp |26215|545 931 0873|091|503/784|405672/224449-501845|3/11/1991|DR1|0MZ|
12|Mike JB	|Henderson|H0Y|53, Hjejsuqz Syjidf Beomwtvnxw|89854|748 632 3643|0GX|246/921|948707/833322-539830|1/27/2003|RE2|5ZP|
13|Kim	|Marston|O0C|48, Wnsnwa Kesvpcaht Axfmodgie|94901|262 995 7200|03N|790/804|502877/288752-266131|12/12/1994|RE4|QP4|
14|Nickolova|Marija|C13|37, Ovsydjbv Wspsesdxviq Qbhld|64120|650 514 2351|0CM|635/591|641963/515443-381898|11/19/1997|DE1|N48|
15|Stephen	|York|L1C|65, Eblyutbhibt Khjatjxl Iblxi|53755|509 195 9719|0GB|848/209|341179/727512-856451|6/23/1996|PE1|78W|
16|Emmanuel	|Stitt|M08|91, Zaacv Mxnnh Qfdjyzkdz Upem|49241|022 887 9917|0AW|190/401|483974/287609-782650|11/16/1992|CH1|FDL|
